39115,0,1024032,0,23,335,2091,3099,2270,3562,4041,3230,3142,3346,9963,13032,4157,3815,6195,5084,6530,8167,11533,14130,12402,17426,18102,19602,28397,34588,47809,81625,111822,221824,1674409,62135,0,0,0,0
36920,0,1034918,0,33,384,2118,2812,2426,3522,4149,3305,2895,3305,11434,15010,4686,3957,6842,5246,6885,8127,11158,15631,13098,17800,19473,21751,28100,35520,49511,86036,111119,220421,1649691,62750,0,0,0,0
36802,0,1048480,0,76,516,2291,2971,2860,3708,4359,3538,2926,3409,11715,15480,5168,4325,7340,5574,7546,8505,10959,16452,13466,17807,20206,22806,28268,36607,49917,89538,112117,221595,1615005,68701,0,0,0,0
39003,0,1065277,0,34,396,2212,2839,2836,3521,4275,3414,2797,3452,12677,15369,5058,4263,7296,5329,7523,8115,10447,16321,13380,17325,20275,22601,27448,36541,50175,92600,112143,222211,1591280,72600,0,0,0,0
28781,0,1099212,0,30,339,1864,2413,2400,2981,3729,4095,2546,3104,13511,16664,4807,3888,6612,5022,7285,7596,10031,15773,13059,15879,19602,21869,25795,35589,50546,96251,113486,225773,1560419,80082,0,0,0,0
26555,0,1160330,0,25,359,2387,3320,2588,3902,4436,4314,3154,3677,9793,14413,4612,4132,6204,5252,7290,8425,11672,15301,13185,18047,19827,22133,29777,36905,54953,89400,132723,230704,1468458,82780,0,0,0,0
24555,0,1174730,0,32,492,2991,4055,3698,5137,6094,4780,3946,5057,12302,18102,6414,5723,8214,7895,9349,9858,13839,17681,15227,21290,20633,24368,33708,39763,51929,97668,117038,223521,1426078,84866,0,0,0,0
19787,0,1191112,0,32,213,1889,2944,2636,3558,4406,4266,3144,4110,13363,19025,6238,5029,7971,6980,9308,9600,12340,17586,15804,20035,22386,25095,33122,42266,54136,101980,123812,226431,1402205,88224,0,0,0,0
29244,0,1202582,0,26,321,2366,3225,2925,4005,4633,3455,3177,3958,13741,17448,6186,4966,7625,6645,9009,9308,11034,17611,15228,19359,22862,25134,31443,41909,55360,102453,128767,228658,1373933,92437,0,0,0,0
33158,0,1228262,0,1685,18595,22050,12645,11978,13104,12443,4676,4399,3972,13674,16374,6016,4547,7142,5412,7761,7871,9183,14666,12617,14912,18709,20900,25169,35363,46327,97933,113885,222681,1335028,97896,0,0,0,0
